iter	Passed	Remaining
573	9172	3611
574	9185	3594
575	9199	3577
576	9214	3561
577	9230	3545
578	9244	3528
579	9260	3512
580	9279	3497
581	9295	3481
582	9312	3466
583	9329	3450
584	9356	3438
585	9375	3423
586	9393	3408
587	9411	3393
588	9434	3379
589	9457	3366
590	9481	3353
591	9502	3338
592	9519	3322
593	9533	3306
594	9548	3289
595	9562	3273
596	9576	3256
597	9596	3241
598	9609	3224
599	9625	3208
600	9641	3192
601	9658	3176
602	9672	3160
603	9690	3144
604	9703	3127
605	9715	3110
606	9731	3094
607	9746	3077
608	9762	3061
609	9775	3044
610	9791	3028
611	9804	3011
612	9819	2995
613	9833	2978
614	9849	2962
615	9862	2945
616	9876	2929
617	9892	2913
618	9904	2896
619	9919	2879
620	9933	2863
621	9946	2846
622	9963	2830
623	9979	2814
624	9996	2798
625	10025	2786
626	10039	2770
627	10053	2753
628	10066	2736
629	10081	2720
630	10096	2704
631	10111	2687
632	10128	2672
633	10143	2655
634	10157	2639
635	10171	2622
636	10185	2606
637	10200	2590
638	10213	2573
639	10227	2556
640	10241	2540
641	10257	2524
642	10270	2507
643	10288	2492
644	10302	2475
645	10320	2460
646	10335	2444
647	10348	2427
648	10363	2411
649	10377	2394
650	10394	2379
651	10418	2364
652	10431	2348
653	10446	2332
654	10465	2316
655	10480	2300
656	10494	2284
657	10511	2268
658	10525	2252
659	10541	2236
660	10560	2220
661	10574	2204
662	10594	2189
663	10614	2174
664	10628	2157
665	10645	2141
666	10660	2125
667	10676	2109
668	10693	2093
669	10711	2078
670	10732	2063
671	10751	2047
672	10766	2031
673	10783	2015
674	10799	1999
675	10813	1983
676	10828	1967
677	10840	1950
678	10855	1934
679	10867	1917
680	10882	1901
681	10895	1885
682	10909	1868
683	10923	1852
684	10936	1836
685	10949	1819
686	10961	1803
687	10976	1786
688	10991	1770
689	11005	1754
690	11018	1738
691	11031	1721
692	11043	1705
693	11057	1688
694	11071	1672
695	11084	1656
696	11098	1640
697	11112	1623
698	11125	1607
699	11139	1591
700	11152	1575
701	11167	1559
702	11182	1542
703	11194	1526
704	11208	1510
705	11222	1494
706	11237	1478
707	11251	1462
708	11266	1446
709	11280	1429
710	11297	1414
711	11312	1398
712	11329	1382
713	11344	1366
714	11358	1350
715	11372	1334
716	11384	1317
717	11398	1301
718	11412	1285
719	11426	1269
720	11438	1253
721	11452	1237
722	11467	1221
723	11480	1205
724	11493	1188
725	11511	1173
726	11528	1157
727	11542	1141
728	11556	1125
729	11569	1109
730	11588	1093
731	11604	1077
732	11619	1062
733	11632	1045
734	11648	1030
735	11662	1014
736	11676	998
737	11689	982
738	11704	966
739	11716	949
740	11731	934
741	11744	918
742	11757	901
743	11772	886
744	11790	870
745	11805	854
746	11819	838
747	11834	822
748	11849	806
749	11861	790
750	11875	774
751	11889	758
752	11903	742
753	11918	727
754	11932	711
755	11947	695
756	11961	679
757	11976	663
758	11992	647
759	12006	631
760	12023	616
761	12038	600
762	12056	584
763	12070	568
764	12085	552
765	12098	537
766	12118	521
767	12133	505
768	12147	489
769	12165	473
770	12180	458
771	12194	442
772	12207	426
773	12221	410
774	12235	394
775	12254	379
776	12269	363
777	12290	347
778	12308	331
779	12323	315
780	12340	300
781	12356	284
782	12372	268
783	12388	252
784	12405	237
785	12421	221
786	12438	205
787	12453	189
788	12466	173
789	12482	158
790	12501	142
791	12518	126
792	12531	110
793	12545	94
794	12561	79
795	12577	63
796	12592	47
797	12604	31
798	12623	15
799	12639	0
